setting_id,planted_redundancy_factor,RR_mean,RR_ci,SSS_mean,SSS_ci,CC_mean,CC_ci,non_identifiability_rate
setting_COMPARE_1_4,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_INDUCTION_1_8,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_XOR_1_0,1,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]",0.0,"[0.0,0.0]",0.0
setting_COMPARE_2_5,2,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_INDUCTION_2_9,2,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_XOR_2_1,2,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.6666666666666666,"[0.6666666666666666,0.6666666666666666]",1.0
setting_COMPARE_4_6,4,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.7999999999999999,"[0.7999999999999999,0.7999999999999999]",1.0
setting_INDUCTION_4_10,4,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.7999999999999999,"[0.7999999999999999,0.7999999999999999]",1.0
setting_XOR_4_2,4,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",1.0,"[1.0,1.0]",0.7999999999999999,"[0.7999999999999999,0.7999999999999999]",1.0
setting_COMPARE_8_7,8,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",0.8444444444444444,"[0.6888888888888888,1.0]",0.8055555555555555,"[0.7999999999999999,0.8166666666666668]",1.0
setting_INDUCTION_8_11,8,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",0.7888888888888889,"[0.611111111111111,0.9555555555555556]",0.8166666666666665,"[0.8055555555555555,0.8277777777777778]",1.0
setting_XOR_8_3,8,0.6666666666666669,"[0.6666666666666669,0.6666666666666669]",0.7555555555555555,"[0.5777777777777777,0.9222222222222222]",0.811111111111111,"[0.7999999999999999,0.8222222222222223]",1.0
